error,month,year
242.0153797589031,6,2011
352.72624284159036,7,2011
376.22979920581236,8,2011
214.18615163499769,9,2011
156.94300101239318,10,2011
130.13562132917312,11,2011
105.11175939472506,12,2011
107.26316009755483,1,2012
94.14525667026449,2,2012
96.85443439579004,3,2012
102.76253555139715,4,2012
151.59565652948436,5,2012
