ds,trend,trend_lower,trend_upper,yhat_lower,yhat_upper,seasonal,seasonal_lower,seasonal_upper,seasonalities,seasonalities_lower,seasonalities_upper,yearly,yearly_lower,yearly_upper,yhat
2009-08-31,132.48848039622456,132.48841359979457,132.48855357386336,19.540559259462604,310.43234309378164,35.055186775576935,35.055186775576935,35.055186775576935,35.055186775576935,35.055186775576935,35.055186775576935,35.055186775576935,35.055186775576935,35.055186775576935,167.5436671718015
2009-09-30,135.10958152932199,135.1093995746089,135.10979168653967,-20.66664434592689,284.0097604313227,-6.0299947208223665,-6.0299947208223665,-6.0299947208223665,-6.0299947208223665,-6.0299947208223665,-6.0299947208223665,-6.0299947208223665,-6.0299947208223665,-6.0299947208223665,129.0795868084996
2009-10-31,137.81805270018933,137.81770250165272,137.81842919054782,-26.980175640414142,259.5689140134561,-24.263365639500776,-24.263365639500776,-24.263365639500776,-24.263365639500776,-24.263365639500776,-24.263365639500776,-24.263365639500776,-24.263365639500776,-24.263365639500776,113.55468706068855
2009-11-30,140.43915383328675,140.43860799857583,140.43973348152238,-61.035126158601344,240.29417925476676,-50.67429248178348,-50.67429248178348,-50.67429248178348,-50.67429248178348,-50.67429248178348,-50.67429248178348,-50.67429248178348,-50.67429248178348,-50.67429248178348,89.76486135150327
2009-12-31,143.1476250041541,143.14689722266357,143.14843665719292,-44.45242330073688,234.5076837568301,-45.66614809508487,-45.66614809508487,-45.66614809508487,-45.66614809508487,-45.66614809508487,-45.66614809508487,-45.66614809508487,-45.66614809508487,-45.66614809508487,97.48147690906922
2010-01-31,145.85609617502143,145.85517783672867,145.85713453770464,-55.63236531577427,233.9141145715809,-52.77524000242543,-52.77524000242543,-52.77524000242543,-52.77524000242543,-52.77524000242543,-52.77524000242543,-52.77524000242543,-52.77524000242543,-52.77524000242543,93.08085617259601
2010-02-28,148.30245723257903,148.30124359425568,148.30369437574984,-54.20273292583156,235.51559370715424,-62.457912485892685,-62.457912485892685,-62.457912485892685,-62.457912485892685,-62.457912485892685,-62.457912485892685,-62.457912485892685,-62.457912485892685,-62.457912485892685,85.84454474668635
2010-03-31,151.01092840344637,151.00944724983862,151.01244696525637,-55.645459300512144,233.6671162803699,-58.75609896024188,-58.75609896024188,-58.75609896024188,-58.75609896024188,-58.75609896024188,-58.75609896024188,-58.75609896024188,-58.75609896024188,-58.75609896024188,92.2548294432045
2010-04-30,153.6320295365438,153.63023515806736,153.63380660044024,1.0674200116731738,290.8665954860834,-10.784361274279393,-10.784361274279393,-10.784361274279393,-10.784361274279393,-10.784361274279393,-10.784361274279393,-10.784361274279393,-10.784361274279393,-10.784361274279393,142.8476682622644
2010-05-31,156.34050070741117,156.33851395185042,156.3425813796453,85.86217839201862,377.0746453712138,75.67356296996469,75.67356296996469,75.67356296996469,75.67356296996469,75.67356296996469,75.67356296996469,75.67356296996469,75.67356296996469,75.67356296996469,232.01406367737587
2010-06-30,158.9616018405086,158.95936326982508,158.96396230827506,126.7551096518556,398.66918607874,100.97778694495041,100.97778694495041,100.97778694495041,100.97778694495041,100.97778694495041,100.97778694495041,100.97778694495041,100.97778694495041,100.97778694495041,259.939388785459
2010-07-31,161.6700730113759,161.6675171753177,161.67271915814848,120.3540895529094,398.4231492173574,93.29109383224136,93.29109383224136,93.29109383224136,93.29109383224136,93.29109383224136,93.29109383224136,93.29109383224136,93.29109383224136,93.29109383224136,254.96116684361726
