error,forecast_cases,month,true_cases,year
457.17748365745337,479.82251634254663,9,937.0,2013
611.3896410174284,328.61035898257165,10,940.0,2013
621.2492414162399,318.7507585837601,11,940.0,2013
213.12542844963957,286.87457155036043,12,500.0,2013
233.96914746641266,440.96914746641266,1,207.0,2014
491.7524136439106,648.7524136439106,2,157.0,2014
631.2423463935123,761.2423463935123,3,130.0,2014
763.3607432644337,843.3607432644337,4,80.0,2014
583.0466858348947,675.0466858348947,5,92.0,2014
749.7132414427466,889.7132414427466,6,140.0,2014
698.0206003909793,935.0206003909793,7,237.0,2014
443.3614174760427,659.3614174760427,8,216.0,2014
