province,year,monthly_case_rmse,year_total_error,peak_error,peak_month_error
10.0,2011.0,28793.400264758486,342275.5769308953,21989.634090099273,5.0
10.0,2012.0,425.1790282797903,1624.3921513761106,944.6703704951733,5.0
10.0,2013.0,515.902887180807,5606.656321243061,263.3431342960632,2.0
10.0,2014.0,452.4662578387363,5190.081508423932,458.6850547933934,1.0
10.0,2015.0,1267.5094344338183,5731.660693756308,3750.5018866278842,1.0
10.0,2016.0,423.8039709904227,3237.2733717918873,149.2648621174867,9.0
41.0,2011.0,NaN,38731.78659687599,3554.9235444413453,2.0
41.0,2012.0,NaN,576.1910316158757,57.80284079900673,1.0
41.0,2013.0,NaN,1256.4187575722897,193.32882700849558,0.0
41.0,2014.0,NaN,60.48391691668232,52.94282430245862,1.0
41.0,2015.0,NaN,1045.472515164854,133.94632370424264,2.0
41.0,2016.0,41.720289642410584,390.896655725108,80.80792056342966,1.0
50.0,2011.0,964.1258567609343,11560.28637693083,1042.0523177332796,0.0
50.0,2012.0,78.02334523637536,881.193103014395,54.84569068439639,1.0
50.0,2013.0,297.5167212256737,3052.43560828063,45.59223387986253,0.0
50.0,2014.0,NaN,1686.6729134769882,233.78956054746703,0.0
50.0,2015.0,NaN,2875.8159037885825,376.21284570041644,0.0
50.0,2016.0,67.42365134167125,642.0627245045548,16.997895649618727,0.0
70.0,2011.0,282.7725647462411,3322.941380580931,295.2027661552954,2.0
70.0,2012.0,31.600811047377565,287.5071412403764,32.86475234170578,4.0
70.0,2013.0,166.8776003447556,1957.287372628119,191.53864054109704,2.0
70.0,2014.0,46.058364760501426,482.8964550557847,61.469112827502414,5.0
70.0,2015.0,106.53636774610766,1008.8305502550393,188.41436401769562,1.0
70.0,2016.0,74.38928926142087,819.4272580472737,74.56208670398031,7.0
90.0,2011.0,701.5588824276406,8407.932905461132,701.3678261098256,11.0
90.0,2012.0,462.4741300752824,5388.097661427852,291.3307753201477,6.0
90.0,2013.0,211.9023144885023,1007.0034337107245,262.1159097239351,0.0
90.0,2014.0,109.50063046506038,1215.3532495999166,40.67908567602336,1.0
90.0,2015.0,346.136427945861,4085.9825101231445,340.1722971556703,4.0
90.0,2016.0,391.26167808713427,1619.3265776402404,933.1134507397471,4.0
