error,forecast_cases,month,true_cases,year
9.611578452518351,13.611578452518351,1,4.0,2014
8.282400293768113,11.282400293768113,2,3.0,2014
10.906456096699053,10.906456096699053,3,0.0,2014
27.130943049576,27.130943049576,4,0.0,2014
80.21453406741585,85.21453406741585,5,5.0,2014
150.371288929677,178.371288929677,6,28.0,2014
227.86723774408728,265.8672377440873,7,38.0,2014
239.39782880015719,270.3978288001572,8,31.0,2014
97.41161372407947,139.41161372407947,9,42.0,2014
53.422197768291554,70.42219776829155,10,17.0,2014
34.84981954118873,42.84981954118873,11,8.0,2014
15.807566719377586,18.807566719377586,12,3.0,2014
