error,forecast_cases,month,true_cases,year
25.196586077862264,7.803413922137736,10,33.0,2007
1.9630429947958579,6.036957005204142,11,8.0,2007
2.2999191153934335,4.2999191153934335,12,2.0,2007
7.989666796485231,17.98966679648523,1,10.0,2008
40.470169657233804,47.470169657233804,2,7.0,2008
76.65835111478202,80.65835111478202,3,4.0,2008
96.88616048621809,101.88616048621809,4,5.0,2008
48.56356040628749,77.5635604062875,5,29.0,2008
11.8479940426176,59.8479940426176,6,48.0,2008
26.48598602232334,43.51401397767666,7,70.0,2008
25.576016876309893,44.57601687630989,8,19.0,2008
17.00387346313425,25.00387346313425,9,8.0,2008
