error,forecast_cases,month,true_cases,year
78.63450959689128,-62.63450959689128,4,16.0,2007
127.00459424014255,-70.00459424014255,5,57.0,2007
140.97452339115924,-49.97452339115923,6,91.0,2007
144.1819732210621,-29.18197322106208,7,115.0,2007
157.1248020010504,-65.12480200105038,8,92.0,2007
148.240698747183,-75.24069874718299,9,73.0,2007
117.63140768404594,-84.63140768404594,10,33.0,2007
95.23657254796352,-87.23657254796352,11,8.0,2007
134.2116149351435,-132.2116149351435,12,2.0,2007
300.799490661799,-290.799490661799,1,10.0,2008
158.11604448345759,-151.11604448345759,2,7.0,2008
144.76135487937796,-140.76135487937796,3,4.0,2008
