ds,trend,trend_lower,trend_upper,yhat_lower,yhat_upper,seasonal,seasonal_lower,seasonal_upper,seasonalities,seasonalities_lower,seasonalities_upper,yearly,yearly_lower,yearly_upper,yhat
2015-06-30,27.182467164453193,27.18169147078298,27.18315360169841,27.413146627022666,164.880620965156,69.38538731144037,69.38538731144037,69.38538731144037,69.38538731144037,69.38538731144037,69.38538731144037,69.38538731144037,69.38538731144037,69.38538731144037,96.56785447589357
2015-07-31,27.043996964211583,27.041106252600066,27.04683183848684,-0.24017938370592168,135.3840370618143,40.246762079111825,40.246762079111825,40.246762079111825,40.246762079111825,40.246762079111825,40.246762079111825,40.246762079111825,40.246762079111825,40.246762079111825,67.2907590433234
2015-08-31,26.905526763969977,26.89986044639546,26.910400439862475,-33.72466743363848,101.83518765541531,8.282292368890658,8.282292368890658,8.282292368890658,8.282292368890658,8.282292368890658,8.282292368890658,8.282292368890658,8.282292368890658,8.282292368890658,35.18781913286064
2015-09-30,26.77152334438133,26.762921687904168,26.779180881425223,-54.502570514810316,86.44240763383237,-10.722176103295782,-10.722176103295782,-10.722176103295782,-10.722176103295782,-10.722176103295782,-10.722176103295782,-10.722176103295782,-10.722176103295782,-10.722176103295782,16.04934724108555
2015-10-31,26.63305314413972,26.6210768134641,26.643945411972208,-59.4999146555398,82.47665098255725,-14.977725408009894,-14.977725408009894,-14.977725408009894,-14.977725408009894,-14.977725408009894,-14.977725408009894,-14.977725408009894,-14.977725408009894,-14.977725408009894,11.655327736129825
2015-11-30,26.499049724551064,26.483901892375872,26.513232586512675,-69.97561182530728,68.90236259438346,-25.56458648823937,-25.56458648823937,-25.56458648823937,-25.56458648823937,-25.56458648823937,-25.56458648823937,-25.56458648823937,-25.56458648823937,-25.56458648823937,0.9344632363116929
2015-12-31,26.360579524309454,26.340863390911256,26.37853186951237,-69.55823269903722,71.1760444770773,-25.874462439685956,-25.874462439685956,-25.874462439685956,-25.874462439685956,-25.874462439685956,-25.874462439685956,-25.874462439685956,-25.874462439685956,-25.874462439685956,0.4861170846234977
2016-01-31,26.222109324067848,26.198342938874948,26.243597355969882,-72.55578578845234,64.15428367795266,-28.104075321395506,-28.104075321395506,-28.104075321395506,-28.104075321395506,-28.104075321395506,-28.104075321395506,-28.104075321395506,-28.104075321395506,-28.104075321395506,-1.881965997327658
2016-02-29,26.092572685132147,26.064396738670588,26.118013521441,-65.42250684137667,71.86552781718777,-24.715878694596448,-24.715878694596448,-24.715878694596448,-24.715878694596448,-24.715878694596448,-24.715878694596448,-24.715878694596448,-24.715878694596448,-24.715878694596448,1.3766939905356992
2016-03-31,25.95410248489054,25.921344681412965,25.984333827987008,-63.304845189190715,73.86641871399536,-22.012493375582164,-22.012493375582164,-22.012493375582164,-22.012493375582164,-22.012493375582164,-22.012493375582164,-22.012493375582164,-22.012493375582164,-22.012493375582164,3.941609109308377
2016-04-30,25.82009906530189,25.785213394886142,25.854515030693204,-40.79553481721292,92.77980459356733,-0.3628753972985652,-0.3628753972985652,-0.3628753972985652,-0.3628753972985652,-0.3628753972985652,-0.3628753972985652,-0.3628753972985652,-0.3628753972985652,-0.3628753972985652,25.457223668003323
2016-05-31,25.68162886506028,25.64299108874837,25.721849449652623,-10.93500878450343,130.5870984707383,34.479257032071715,34.479257032071715,34.479257032071715,34.479257032071715,34.479257032071715,34.479257032071715,34.479257032071715,34.479257032071715,34.479257032071715,60.16088589713199
