ds,trend,trend_lower,trend_upper,yhat_lower,yhat_upper,seasonal,seasonal_lower,seasonal_upper,seasonalities,seasonalities_lower,seasonalities_upper,yearly,yearly_lower,yearly_upper,yhat
2010-01-31,29.145726904705754,29.145726828727355,29.145726977809826,-30.311183823485347,31.71649348430724,-28.34399164618839,-28.34399164618839,-28.34399164618839,-28.34399164618839,-28.34399164618839,-28.34399164618839,-28.34399164618839,-28.34399164618839,-28.34399164618839,0.8017352585173647
2010-02-28,29.001204803948625,29.00120460702365,29.001204986696525,-28.993757818221773,32.36339186698228,-28.27498598550544,-28.27498598550544,-28.27498598550544,-28.27498598550544,-28.27498598550544,-28.27498598550544,-28.27498598550544,-28.27498598550544,-28.27498598550544,0.7262188184431828
2010-03-31,28.84119819239609,28.841197794411478,28.84119852443684,-25.11182447085467,35.82085659203684,-22.701792794158266,-22.701792794158266,-22.701792794158266,-22.701792794158266,-22.701792794158266,-22.701792794158266,-22.701792794158266,-22.701792794158266,-22.701792794158266,6.139405398237823
2010-04-30,28.68635308444202,28.686352522684675,28.686353606978575,4.229778441565959,66.97575098450119,8.04086546591493,8.04086546591493,8.04086546591493,8.04086546591493,8.04086546591493,8.04086546591493,8.04086546591493,8.04086546591493,8.04086546591493,36.72721855035695
2010-05-31,28.52634647288948,28.526345696391584,28.526347185733208,26.895679630607997,88.25469123572809,30.122298243477605,30.122298243477605,30.122298243477605,30.122298243477605,30.122298243477605,30.122298243477605,30.122298243477605,30.122298243477605,30.122298243477605,58.64864471636709
2010-06-30,28.371501364935412,28.371500379691366,28.37150232642058,53.37237102929122,112.05252172032077,53.73267278522122,53.73267278522122,53.73267278522122,53.73267278522122,53.73267278522122,53.73267278522122,53.73267278522122,53.73267278522122,53.73267278522122,82.10417415015664
2010-07-31,28.211494753382873,28.211493547154344,28.2114959714861,24.68669318805984,86.09045018081683,26.04026419248888,26.04026419248888,26.04026419248888,26.04026419248888,26.04026419248888,26.04026419248888,26.04026419248888,26.04026419248888,26.04026419248888,54.25175894587176
2010-08-31,28.051488141830337,28.05148671277199,28.051489627276425,9.63523508160689,69.00542165547513,11.445111520998509,11.445111520998509,11.445111520998509,11.445111520998509,11.445111520998509,11.445111520998509,11.445111520998509,11.445111520998509,11.445111520998509,39.49659966282884
2010-09-30,27.896643033876266,27.89664137000399,27.89664478374088,-2.3161530625391014,59.060795818588545,-2.418707228364588,-2.418707228364588,-2.418707228364588,-2.418707228364588,-2.418707228364588,-2.418707228364588,-2.418707228364588,-2.418707228364588,-2.418707228364588,25.477935805511677
2010-10-31,27.736636422323727,27.736634444075616,27.73663843930785,-11.978389493524375,48.3531312987553,-8.2357841118665,-8.2357841118665,-8.2357841118665,-8.2357841118665,-8.2357841118665,-8.2357841118665,-8.2357841118665,-8.2357841118665,-8.2357841118665,19.500852310457226
2010-11-30,27.581791314369656,27.581789110068875,27.581793573329477,-23.77631573084092,34.23595962130426,-21.271277174471983,-21.271277174471983,-21.271277174471983,-21.271277174471983,-21.271277174471983,-21.271277174471983,-21.271277174471983,-21.271277174471983,-21.271277174471983,6.310514139897673
2010-12-31,27.42178470281712,27.421782220589904,27.42178725850888,-24.676378707359397,36.88891264182558,-20.9638618152159,-20.9638618152159,-20.9638618152159,-20.9638618152159,-20.9638618152159,-20.9638618152159,-20.9638618152159,-20.9638618152159,-20.9638618152159,6.457922887601221
