error,forecast_cases,month,true_cases,year
13.057513939473573,57.05751393947357,6,44.0,2009
4.957010458844209,78.95701045884421,7,74.0,2009
21.696264990896175,45.303735009103825,8,67.0,2009
10.251045840190045,32.748954159809955,9,43.0,2009
19.58789887618356,15.41210112381644,10,35.0,2009
27.381319729223804,7.6186802707761965,11,35.0,2009
18.44296238957934,-3.442962389579339,12,15.0,2009
35.01164056309059,-7.011640563090588,1,28.0,2010
34.39992976974138,-9.399929769741373,2,25.0,2010
46.19044470162248,-10.19044470162248,3,36.0,2010
36.118396589131365,-5.118396589131368,4,31.0,2010
47.289755740184965,25.710244259815035,5,73.0,2010
