province,year,monthly_case_rmse,year_total_error,peak_error,peak_month_error
10.0,2007.0,167.15084759533096,424.13073952000923,28.66712189699774,5.0
10.0,2008.0,332.62282674009697,2808.869533771859,626.5169910644329,4.0
10.0,2009.0,174.6026347882334,1683.308353727829,89.85445582892316,1.0
10.0,2010.0,269.8878441509705,937.4898984681467,389.2359039172088,0.0
10.0,2011.0,220.24143388409448,142.99498758084428,152.04195112705327,4.0
10.0,2012.0,364.7950707402287,349.8414772731094,725.4784389233538,1.0
10.0,2013.0,253.57701917726564,1667.13754649152,272.96099610636963,3.0
10.0,2014.0,409.80659604499556,4604.256467194347,489.34034180431445,0.0
10.0,2015.0,1358.8417784066833,8590.319271628812,3986.2134667347473,0.0
10.0,2016.0,445.8991097271572,3402.705586677548,256.3612509967793,10.0
41.0,2007.0,20.515938502735025,62.89527561759314,26.497408188708363,0.0
41.0,2008.0,28.811119936682136,261.62783544089086,31.39733037843034,0.0
41.0,2009.0,10.925837499866732,13.47208156013454,15.909872533411473,0.0
41.0,2010.0,76.0130561240645,576.9385502288594,174.83110944740878,0.0
41.0,2011.0,NaN,399.5260313005821,96.00840686485503,2.0
41.0,2012.0,NaN,50.82231233663231,18.926774855370397,1.0
41.0,2013.0,NaN,321.3583596700813,108.32786578916924,0.0
41.0,2014.0,NaN,438.6467151636243,105.5603540761002,1.0
41.0,2015.0,NaN,163.19017994525996,47.29663288870614,2.0
41.0,2016.0,34.847644007074,304.6021989464368,67.35217488038668,0.0
50.0,2007.0,NaN,120.97746050492475,67.64727328840775,0.0
50.0,2008.0,176.50950567870856,1516.0037293825046,345.30267012915203,2.0
50.0,2009.0,41.04116683968852,143.61539691884366,73.4928609399301,1.0
50.0,2010.0,235.51826207002037,1413.3313269419884,633.0425936406228,1.0
50.0,2011.0,115.39531540107168,895.7648970936468,241.294002420577,2.0
50.0,2012.0,67.61639106310804,416.2421839537535,149.74254457441367,0.0
50.0,2013.0,205.54492810831414,1650.3321891368628,419.35957641703607,1.0
50.0,2014.0,NaN,953.2085479688926,229.03172661387475,1.0
50.0,2015.0,NaN,316.3855315123451,106.75707772552889,0.0
50.0,2016.0,50.18675492746927,193.57025522641516,53.34116446840039,0.0
70.0,2007.0,30.649051789858362,24.779107551157608,22.35452608198267,1.0
70.0,2008.0,63.66861003013422,596.4763912353518,121.08241811297965,0.0
70.0,2009.0,29.671815378679852,176.415815100435,31.92849251962896,2.0
70.0,2010.0,33.85045886754145,200.31947133389167,13.88879206246034,3.0
70.0,2011.0,33.72094325089816,290.8276997113094,59.41141000337352,1.0
70.0,2012.0,21.20105754505926,5.281992646361118,8.599243449633192,2.0
70.0,2013.0,27.328567540560684,212.4708913365572,15.553744629665516,0.0
70.0,2014.0,25.700899971271685,260.87374004355945,29.76013301797741,3.0
70.0,2015.0,98.78236436185543,883.1135648826131,180.8221694728531,0.0
70.0,2016.0,57.805364150209826,581.1961790821847,59.963230511663454,7.0
90.0,2007.0,119.12970058320798,1082.0866428040845,179.55547227601863,6.0
90.0,2008.0,60.99660276086224,482.12561078619046,53.78788438111937,1.0
90.0,2009.0,50.130924340119165,217.5664019052697,55.24068159902012,5.0
90.0,2010.0,303.0880321078049,2642.780271868145,567.6852979221584,1.0
90.0,2011.0,119.6908089460338,1188.7672457436759,142.92893577811265,6.0
90.0,2012.0,123.43362106799287,142.29253905793666,166.7654077294455,5.0
90.0,2013.0,261.8573204794521,1951.0216706565834,512.7765893730311,1.0
90.0,2014.0,69.91305866251547,737.8679363784079,45.807007620285646,1.0
90.0,2015.0,70.01172156859597,311.9134924937621,17.767800272372057,5.0
90.0,2016.0,429.71369261895194,2662.275595233562,1017.5188844358312,4.0
