province,year,monthly_case_rmse,year_total_error,peak_error,peak_month_error
10.0,2009.0,280.88513781229454,2649.350039659387,401.7466756534452,5.0
10.0,2010.0,521.9361216278357,4937.25000216371,859.0343560657245,3.0
10.0,2011.0,382.5783084942112,3905.214893075948,619.0022714066099,1.0
10.0,2012.0,518.6278046221332,3615.646760063745,1180.1571013705384,4.0
10.0,2013.0,519.5282325864345,5494.677558463323,818.0279105970666,2.0
41.0,2009.0,19.031388227737644,174.4608672067386,38.26717339142714,0.0
41.0,2010.0,93.41243327212013,751.2356803765929,216.4023558017196,0.0
41.0,2011.0,NaN,69.43572916045426,13.308062842726002,2.0
41.0,2012.0,NaN,215.41004131699862,49.07889287990436,1.0
41.0,2013.0,NaN,533.0881471463716,157.3383382919617,0.0
50.0,2009.0,51.538768469813604,545.3093561372209,58.152725521414084,0.0
50.0,2010.0,303.1922646786049,2095.2048627904533,763.5912429987742,2.0
50.0,2011.0,24.121975377533253,155.96169649499348,31.983272439614126,1.0
50.0,2012.0,31.26832520989627,188.4572912811716,25.915541378147154,1.0
50.0,2013.0,249.81026951297991,2079.355237048549,525.7632321710518,0.0
70.0,2009.0,31.339928967707316,315.0084185556334,51.52390267961591,1.0
70.0,2010.0,30.019704592814065,235.73274893170844,48.70584118125265,3.0
70.0,2011.0,58.87560535762352,596.6207098950451,90.12425551972362,2.0
70.0,2012.0,36.84104967999322,379.0289728631352,38.05263831697428,4.0
70.0,2013.0,23.931405962650626,182.09898913905067,33.20188571878593,2.0
90.0,2009.0,69.53521011973488,800.8308374254605,72.05452042357044,11.0
90.0,2010.0,353.16067514605817,3355.1817102902232,646.724738702508,2.0
90.0,2011.0,28.740144307479177,18.417664357726608,22.12917970626387,5.0
90.0,2012.0,144.6769947425848,1139.0615974655875,307.1920255858827,6.0
90.0,2013.0,302.08673373259046,2735.926847077751,603.9981576807293,1.0
