province,year,monthly_case_rmse,year_total_error,peak_error,peak_month_error
10.0,2013.0,40093.98869664871,480286.2111046079,36257.85277463924,3.0
10.0,2014.0,214.59500742811903,2030.222736124002,136.71097582723166,5.0
10.0,2015.0,1217.0903773527702,1321.002865411905,3199.981073292942,1.0
10.0,2016.0,461.8869336940636,3955.6818325942922,93.39607735740526,9.0
41.0,2013.0,NaN,53476.62913538871,4536.852918805797,0.0
41.0,2014.0,NaN,1104.0986543329302,148.42406668779415,1.0
41.0,2015.0,NaN,1075.9045153678367,65.57652640515491,2.0
41.0,2016.0,22.77796786015256,100.18925158102843,25.751489698273552,0.0
50.0,2013.0,1160.7805549695986,13775.307528400479,825.4474058400319,1.0
50.0,2014.0,NaN,741.8020425179244,9.729543182346518,0.0
50.0,2015.0,NaN,6506.794364242287,603.7875451240483,1.0
50.0,2016.0,124.36099752365563,1371.9068665270056,18.42561468568198,1.0
70.0,2013.0,440.7933333679805,5276.762867185262,454.0114268022395,2.0
70.0,2014.0,64.17526670984961,747.0698546393828,75.20158346248391,5.0
70.0,2015.0,140.22280698385705,1487.2426627979853,48.1397720103642,2.0
70.0,2016.0,74.48847750052633,807.2671916638545,82.61054263160321,5.0
90.0,2013.0,762.0496846105901,8792.866936146522,370.29047100149,6.0
90.0,2014.0,683.5190361265437,8182.633292977736,646.4514927184437,1.0
90.0,2015.0,353.45750435245134,4189.210665471982,323.7513531902988,5.0
90.0,2016.0,393.0958818053234,1749.3425146187292,969.7129438788945,5.0
