province,year,monthly_case_rmse,year_total_error,peak_error,peak_month_error
10.0,2007.0,5935.30404172103,14259.199125220624,15268.351739895517,10.0
10.0,2008.0,580.1433256065261,4549.096963404576,747.1070631639041,9.0
10.0,2009.0,327.55865389853534,2142.0272756053782,90.04027114100495,1.0
10.0,2010.0,523.6055386632296,440.94930871927863,231.22700338196876,6.0
10.0,2011.0,376.6927694231267,671.0849866559593,236.35304275927388,2.0
10.0,2012.0,604.0535910203067,1265.7806770080488,617.7617259259791,7.0
10.0,2013.0,535.8704838086077,2556.839976779782,416.3935483823037,4.0
10.0,2014.0,509.77823663652964,4885.528720752712,523.0856173080462,6.0
10.0,2015.0,1601.373966867462,8169.307929309216,3922.9596739045783,6.0
10.0,2016.0,392.27718512005004,1751.282616816974,204.60394921412524,4.0
41.0,2007.0,911.3092473100116,4790.907465528357,1853.1436607463834,6.0
41.0,2008.0,51.433779128292166,388.11521208747604,29.250059967806408,6.0
41.0,2009.0,52.15790624772558,19.72409051811337,24.647944130319814,6.0
41.0,2010.0,121.04229720520479,798.4662375852166,186.17209048748234,6.0
41.0,2011.0,NaN,395.49703006007053,65.71604385701431,4.0
41.0,2012.0,NaN,294.83436497405273,51.233879011026886,4.0
41.0,2013.0,NaN,287.64107151769844,103.0612902444563,4.0
41.0,2014.0,NaN,529.5891259506982,96.45198826504068,3.0
41.0,2015.0,NaN,286.6622003408121,42.67494043347318,4.0
41.0,2016.0,30.954535056700273,253.46311069153808,46.97726800538386,0.0
50.0,2007.0,NaN,3527.83477568316,3168.1821666681594,1.0
50.0,2008.0,230.64907942173335,1572.1557691938883,308.67577078568775,7.0
50.0,2009.0,87.00490940611951,234.6251214865448,39.39799715987425,5.0
50.0,2010.0,301.0756659433813,279.6681964514041,515.5456617863236,7.0
50.0,2011.0,133.5018661083184,1327.1157943272924,181.76399868359198,5.0
50.0,2012.0,169.17267112137313,1297.9449755951537,253.14690522007288,6.0
50.0,2013.0,304.55880278656855,1387.0204858331517,376.40343490745363,5.0
50.0,2014.0,NaN,1310.5962957447805,235.34036096580712,5.0
50.0,2015.0,NaN,1014.8371302023193,185.3620770479148,5.0
50.0,2016.0,150.24610744761605,569.8541101291125,9.404311105714328,4.0
70.0,2007.0,687.2266094763188,6856.590269927775,1333.3753436395514,4.0
70.0,2008.0,152.74249662941898,1250.1717221524027,32.646249956741286,1.0
70.0,2009.0,65.55274424133938,650.8428788635447,85.67475800434212,4.0
70.0,2010.0,53.618925499811155,375.21973674258106,36.11136020952762,8.0
70.0,2011.0,63.916045109510314,315.27672447657767,53.202038451243865,7.0
70.0,2012.0,37.25391688899958,25.824186612777567,1.487821922322894,2.0
70.0,2013.0,43.970986381390105,337.4171605045383,31.071215654875445,6.0
70.0,2014.0,47.28912816488337,311.58209187171826,34.90219608615271,9.0
70.0,2015.0,130.43988390566784,925.0907201999726,180.7369507592388,6.0
70.0,2016.0,43.92771458741469,467.3805925221087,38.49465804755786,1.0
90.0,2007.0,496.0096343640613,472.0389450083412,1085.9621462676578,4.0
90.0,2008.0,106.44029986548648,1060.245603015378,125.4197363260198,5.0
90.0,2009.0,94.12902431662754,1042.333692539176,145.64273321377436,11.0
90.0,2010.0,295.15680229302285,2107.7446156881024,523.0664921687949,5.0
90.0,2011.0,137.28482765429064,1532.590397260425,196.90319927815028,11.0
90.0,2012.0,155.4155444144062,1147.0133402876559,42.26952144642536,11.0
90.0,2013.0,246.4367963501271,1571.6716301023907,469.3785170398572,5.0
90.0,2014.0,157.85274483810855,1728.3541552316783,76.83791976785653,5.0
90.0,2015.0,104.74384736795255,903.696249973882,66.76975473432037,1.0
90.0,2016.0,406.62907821577215,2201.8790735649745,976.7498294889382,10.0
