error,forecast_cases,month,true_cases,year
55.31375770571424,532.3137577057142,2,477.0,2013
7.712225848055311,341.2877741519447,3,349.0,2013
235.05407897479256,109.94592102520744,4,345.0,2013
244.18543133802063,605.1854313380206,5,361.0,2013
234.4377069639429,848.4377069639429,6,614.0,2013
342.59795816594374,795.4020418340563,7,1138.0,2013
448.66322917486127,760.3367708251387,8,1209.0,2013
186.2022928789179,1123.202292878918,9,937.0,2013
208.0204344673831,731.9795655326169,10,940.0,2013
93.68131792216604,1033.681317922166,11,940.0,2013
213.2724198263885,713.2724198263885,12,500.0,2013
461.63670116552987,668.6367011655299,1,207.0,2014
