province,year,monthly_case_rmse,year_total_error,peak_error,peak_month_error
10.0,2014.0,45324.55279630268,542549.3489510238,39812.32722519744,0.0
10.0,2015.0,1518.8776578059326,10873.116339445223,4304.791951201604,5.0
10.0,2016.0,1185.0511055146392,13629.985569721572,739.7752211909219,9.0
41.0,2014.0,NaN,61872.32994565319,5434.6191461802,1.0
41.0,2015.0,NaN,964.3159517501558,109.70657626242394,2.0
41.0,2016.0,92.17113220512407,1073.1793675503343,51.856095351265544,0.0
50.0,2014.0,NaN,18445.958937867566,1629.4112849790947,1.0
50.0,2015.0,NaN,1403.0942489396557,115.72287200719805,1.0
50.0,2016.0,601.5883145902966,7197.246228757837,526.7119267500833,1.0
70.0,2014.0,510.1467241338516,6098.757465225599,551.466616774263,1.0
70.0,2015.0,72.24943193936514,283.6824506452783,123.65989349730884,2.0
70.0,2016.0,264.79648025933636,3146.38193510021,293.7284948969696,5.0
90.0,2014.0,1077.0711238702916,12909.159605018915,1018.5608072961811,5.0
90.0,2015.0,746.7537824327543,8926.01745584388,723.9471204289644,5.0
90.0,2016.0,391.88990476611053,1783.4169159812818,655.8684970643271,5.0
