error,forecast_cases,month,true_cases,year
319.1981389048974,344.1981389048974,11,25.0,2010
312.28411682894136,335.28411682894136,12,23.0,2010
270.19934904453913,280.19934904453913,1,10.0,2011
219.01880510615257,224.01880510615257,2,5.0,2011
360.59984398553945,368.59984398553945,3,8.0,2011
432.0182715922309,435.0182715922309,4,3.0,2011
446.3619309162021,488.3619309162021,5,42.0,2011
422.9684621718885,483.9684621718885,6,61.0,2011
594.7103299832147,626.7103299832147,7,32.0,2011
679.1616287768188,717.1616287768188,8,38.0,2011
581.743082623497,596.743082623497,9,15.0,2011
507.7361522297068,516.7361522297068,10,9.0,2011
