error,forecast_cases,month,true_cases,year
120.84187327971136,428.84187327971136,9,308.0,2010
339.00405424656753,451.00405424656753,10,112.0,2010
411.35205654551055,436.35205654551055,11,25.0,2010
417.31197068072214,440.31197068072214,12,23.0,2010
396.7427776456967,406.7427776456967,1,10.0,2011
336.74817359971337,341.74817359971337,2,5.0,2011
507.3688707704853,515.3688707704853,3,8.0,2011
589.59144118099,592.59144118099,4,3.0,2011
608.6021207560781,650.6021207560781,5,42.0,2011
592.5057128162139,653.5057128162139,6,61.0,2011
755.1856493896436,787.1856493896436,7,32.0,2011
842.7677754664105,880.7677754664105,8,38.0,2011
