error,forecast_cases,month,true_cases,year
132.46878678195128,-2.468786781951266,5,130.0,2012
92.02919881162799,15.97080118837201,6,108.0,2012
154.44966209797508,-24.449662097975068,7,130.0,2012
138.8368772159982,-55.83687721599818,8,83.0,2012
178.11335418982426,-82.11335418982426,9,96.0,2012
352.0307334462726,-144.03073344627262,10,208.0,2012
542.9335971038107,-176.93359710381068,11,366.0,2012
554.0995718041859,-179.09957180418584,12,375.0,2012
629.3583737513038,-185.35837375130382,1,444.0,2013
498.13901116491,-187.13901116491002,2,311.0,2013
669.7504056720223,-338.75040567202234,3,331.0,2013
601.7692720511627,-316.76927205116266,4,285.0,2013
