error,forecast_cases,month,true_cases,year
51.295998816417736,9.704001183582264,4,61.0,2008
55.49566465907117,162.49566465907117,5,107.0,2008
12.796647652160772,182.20335234783923,6,195.0,2008
184.8626774660268,34.13732253397319,7,219.0,2008
157.34618646830532,21.653813531694688,8,179.0,2008
98.83445499952268,52.16554500047732,9,151.0,2008
142.56930753228306,35.43069246771694,10,178.0,2008
184.06282189982915,-36.06282189982913,11,148.0,2008
132.02036297072155,-20.02036297072155,12,112.0,2008
73.69758003400102,46.30241996599897,1,120.0,2009
111.70413943240172,-2.7041394324017247,2,109.0,2009
236.32354133616082,-142.32354133616082,3,94.0,2009
