error,forecast_cases,month,true_cases,year
3.140069548853546,70.14006954885355,8,67.0,2009
14.221240867601935,57.221240867601935,9,43.0,2009
22.55817720178388,12.44182279821612,10,35.0,2009
29.309528743079852,5.690471256920147,11,35.0,2009
8.969586643599463,6.030413356400538,12,15.0,2009
3.2019524717629473,24.798047528237053,1,28.0,2010
0.06165342245012795,24.938346577549872,2,25.0,2010
27.40969806005159,8.590301939948409,3,36.0,2010
22.47385441491449,8.526145585085509,4,31.0,2010
32.66402926184994,40.33597073815006,5,73.0,2010
77.75501976222593,75.24498023777407,6,153.0,2010
171.86823110486634,89.13176889513366,7,261.0,2010
