error,forecast_cases,month,true_cases,year
53.171610220162776,34.828389779837224,10,88.0,2012
51.18571025258037,33.81428974741963,11,85.0,2012
3.237659559356679,32.76234044064332,12,36.0,2012
7.077291264116468,34.92270873588353,1,42.0,2013
7.495028472495349,47.49502847249535,2,40.0,2013
53.020783095969634,82.02078309596963,3,29.0,2013
59.2432227768079,86.2432227768079,4,27.0,2013
78.90497662102742,90.90497662102742,5,12.0,2013
65.76733070308849,79.76733070308849,6,14.0,2013
21.083861426644873,64.08386142664487,7,43.0,2013
19.961373715720406,55.038626284279594,8,75.0,2013
25.466570873517476,33.533429126482524,9,59.0,2013
