error,forecast_cases,month,true_cases,year
9.55131905076751,34.55131905076751,12,25.0,2013
24.005977058887666,36.005977058887666,1,12.0,2014
18.25953992555381,32.25953992555381,2,14.0,2014
21.45521783133338,32.45521783133338,3,11.0,2014
36.631114496632335,44.631114496632335,4,8.0,2014
62.77459450114452,72.77459450114452,5,10.0,2014
39.994746195755965,80.99474619575597,6,41.0,2014
43.780290028110414,88.78029002811041,7,45.0,2014
26.53225825397064,77.53225825397064,8,51.0,2014
9.15198683573746,65.15198683573746,9,56.0,2014
12.92106944456956,58.92106944456956,10,46.0,2014
26.027922322642752,33.97207767735725,11,60.0,2014
