error,forecast_cases,month,true_cases,year
19.074872607451645,33.074872607451645,2,14.0,2014
23.37907885058044,34.37907885058044,3,11.0,2014
25.095044088004286,33.095044088004286,4,8.0,2014
22.935018494941104,32.935018494941104,5,10.0,2014
2.4037688682870026,43.403768868287,6,41.0,2014
28.72835128780123,73.72835128780123,7,45.0,2014
29.59297108439597,80.59297108439597,8,51.0,2014
33.13881036103746,89.13881036103746,9,56.0,2014
30.829555348848345,76.82955534884834,10,46.0,2014
6.16347703189993,66.16347703189993,11,60.0,2014
16.02802852294427,58.02802852294427,12,42.0,2014
4.8548424496956954,32.854842449695695,1,28.0,2015
