error,forecast_cases,month,true_cases,year
17.80071805979259,31.80071805979259,5,14.0,2010
16.64404960495334,30.64404960495334,6,14.0,2010
17.87638410255088,31.12361589744912,7,49.0,2010
42.623789870356184,30.376210129643816,8,73.0,2010
33.2262890857984,55.7737109142016,9,89.0,2010
37.9667497564359,102.9667497564359,10,65.0,2010
63.609180007171204,99.6091800071712,11,36.0,2010
69.34484091033745,88.34484091033745,12,19.0,2010
29.493108601442913,66.49310860144291,1,37.0,2011
18.161406300552436,56.161406300552436,2,38.0,2011
5.897894632308905,45.897894632308905,3,40.0,2011
5.219006922944658,32.78099307705534,4,38.0,2011
