error,forecast_cases,month,true_cases,year
6.818456856925366,42.818456856925366,12,36.0,2012
4.461043380798728,46.46104338079873,1,42.0,2013
5.930064519191703,45.9300645191917,2,40.0,2013
14.648263827804058,43.64826382780406,3,29.0,2013
17.568328326749935,44.568328326749935,4,27.0,2013
46.96634937840428,58.96634937840428,5,12.0,2013
80.16068969030071,94.16068969030071,6,14.0,2013
53.509217804819045,96.50921780481904,7,43.0,2013
27.859777775703236,102.85977777570324,8,75.0,2013
32.711918366405925,91.71191836640592,9,59.0,2013
25.36620894005891,78.36620894005891,10,53.0,2013
19.874275033815806,71.8742750338158,11,52.0,2013
