error,forecast_cases,month,true_cases,year
52.57180771853214,91.57180771853214,5,39.0,2009
107.28945141197244,154.28945141197244,6,47.0,2009
86.29054888035014,142.29054888035014,7,56.0,2009
29.643287262868597,118.6432872628686,8,89.0,2009
21.978250265845418,95.97825026584542,9,74.0,2009
54.76727375812344,93.76727375812344,10,39.0,2009
18.865824848586684,74.86582484858668,11,56.0,2009
26.52391308038961,61.52391308038961,12,35.0,2009
23.721224451131377,66.72122445113138,1,43.0,2010
36.226553121699155,68.22655312169915,2,32.0,2010
49.65496294470428,68.65496294470428,3,19.0,2010
49.16248657393099,70.16248657393099,4,21.0,2010
