ds,trend,trend_lower,trend_upper,yhat_lower,yhat_upper,seasonal,seasonal_lower,seasonal_upper,seasonalities,seasonalities_lower,seasonalities_upper,yearly,yearly_lower,yearly_upper,yhat
2016-02-29,168.64012663422452,168.63994217226423,168.6402748184309,-156.31582424951515,386.6614690765548,-53.40675748200251,-53.40675748200251,-53.40675748200251,-53.40675748200251,-53.40675748200251,-53.40675748200251,-53.40675748200251,-53.40675748200251,-53.40675748200251,115.233369152222
2016-03-31,169.08147492129257,169.08091146040488,169.08194747490361,-131.2659577809114,391.1441416228763,-47.22642302527301,-47.22642302527301,-47.22642302527301,-47.22642302527301,-47.22642302527301,-47.22642302527301,-47.22642302527301,-47.22642302527301,-47.22642302527301,121.85505189601956
2016-04-30,169.5085861668423,169.50748435025216,169.5094713907511,-50.853711497128806,443.74674362174414,20.773833178050868,20.773833178050868,20.773833178050868,20.773833178050868,20.773833178050868,20.773833178050868,20.773833178050868,20.773833178050868,20.773833178050868,190.28241934489316
2016-05-31,169.94993445391034,169.94813248309572,169.95137928381402,-21.02698684782325,503.121173775213,77.71030461728664,77.71030461728664,77.71030461728664,77.71030461728664,77.71030461728664,77.71030461728664,77.71030461728664,77.71030461728664,77.71030461728664,247.660239071197
2016-06-30,170.37704569946007,170.37462079734843,170.37903840023665,-14.165388456930891,509.8698792237844,75.76933955320473,75.76933955320473,75.76933955320473,75.76933955320473,75.76933955320473,75.76933955320473,75.76933955320473,75.76933955320473,75.76933955320473,246.1463852526648
2016-07-31,170.81839398652812,170.81523277890608,170.82102424154945,-75.8025111451624,468.578215815994,23.48317409513457,23.48317409513457,23.48317409513457,23.48317409513457,23.48317409513457,23.48317409513457,23.48317409513457,23.48317409513457,23.48317409513457,194.30156808166268
2016-08-31,171.25974227359615,171.25584535771245,171.26305737863294,-78.61079908740336,415.6728230470705,-2.997346151167927,-2.997346151167927,-2.997346151167927,-2.997346151167927,-2.997346151167927,-2.997346151167927,-2.997346151167927,-2.997346151167927,-2.997346151167927,168.2623961224282
2016-09-30,171.68685351914587,171.6822908625944,171.69086820122476,-98.66779347277743,407.0708787256819,-8.885472702645943,-8.885472702645943,-8.885472702645943,-8.885472702645943,-8.885472702645943,-8.885472702645943,-8.885472702645943,-8.885472702645943,-8.885472702645943,162.80138081649991
2016-10-31,172.12820180621392,172.1227453856747,172.1330013247719,-95.52487581354036,431.92829082853456,-3.29695525188188,-3.29695525188188,-3.29695525188188,-3.29695525188188,-3.29695525188188,-3.29695525188188,-3.29695525188188,-3.29695525188188,-3.29695525188188,168.83124655433204
2016-11-30,172.55531305176368,172.54926714832655,172.56075357025418,-98.44562166204715,407.1772754762838,-16.093482557977,-16.093482557977,-16.093482557977,-16.093482557977,-16.093482557977,-16.093482557977,-16.093482557977,-16.093482557977,-16.093482557977,156.46183049378666
2016-12-31,172.99666133883167,172.98983449525326,173.00294416014424,-117.30834307717676,421.54800035798877,-13.637467794837619,-13.637467794837619,-13.637467794837619,-13.637467794837619,-13.637467794837619,-13.637467794837619,-13.637467794837619,-13.637467794837619,-13.637467794837619,159.35919354399405
2017-01-31,173.43800962589975,173.429877575066,173.44520083548116,-139.3450521713776,365.4632652018818,-52.005116149696526,-52.005116149696526,-52.005116149696526,-52.005116149696526,-52.005116149696526,-52.005116149696526,-52.005116149696526,-52.005116149696526,-52.005116149696526,121.43289347620322
