error,forecast_cases,month,true_cases,year
55.36129314730266,175.36129314730266,1,120.0,2009
38.89180759764096,147.89180759764096,2,109.0,2009
47.27247427048462,141.27247427048462,3,94.0,2009
60.93791092537461,164.9379109253746,4,104.0,2009
121.21258988405509,231.2125898840551,5,110.0,2009
183.61544071256407,267.61544071256407,6,84.0,2009
174.68296817437542,232.68296817437542,7,58.0,2009
157.77720513746257,209.77720513746257,8,52.0,2009
141.72382311847286,202.72382311847286,9,61.0,2009
127.44605666021758,209.44605666021758,10,82.0,2009
110.69530819874228,200.69530819874228,11,90.0,2009
89.16276112199228,199.16276112199228,12,110.0,2009
