error,forecast_cases,month,true_cases,year
16.071932948284996,162.928067051715,8,179.0,2008
9.37023851339913,160.37023851339913,9,151.0,2008
20.904785725883954,157.09521427411605,10,178.0,2008
11.71477190333681,159.7147719033368,11,148.0,2008
63.9939944316331,175.9939944316331,12,112.0,2008
67.6029279522453,187.6029279522453,1,120.0,2009
53.02602129901561,162.0260212990156,2,109.0,2009
62.80774040328939,156.8077404032894,3,94.0,2009
74.82566085597838,178.82566085597838,4,104.0,2009
133.4111680124566,243.4111680124566,5,110.0,2009
194.64472766401184,278.64472766401184,6,84.0,2009
183.86094907760202,241.86094907760202,7,58.0,2009
