error,forecast_cases,month,true_cases,year
34.53516963688409,124.53516963688409,11,90.0,2009
13.135752252868201,123.1357522528682,12,110.0,2009
35.30250388069143,116.69749611930857,1,152.0,2010
6.665331424393514,95.33466857560649,2,102.0,2010
24.571040710147756,89.42895928985224,3,114.0,2010
28.439437117189954,108.56056288281005,4,137.0,2010
98.11400429100084,156.88599570899916,5,255.0,2010
316.29678499776514,175.70321500223488,6,492.0,2010
577.4709939141496,143.52900608585043,7,721.0,2010
543.35254850372,123.64745149628008,8,667.0,2010
428.6780159567872,119.3219840432128,9,548.0,2010
242.39723900555322,130.60276099444678,10,373.0,2010
