province,year,monthly_case_rmse,year_total_error,peak_error,peak_month_error
10.0,2009.0,317.3500839873751,3333.5982378938493,443.92905246525066,4.0
10.0,2010.0,555.4979089080979,5524.591423437066,905.9974349203376,3.0
10.0,2011.0,303.4251693682001,2623.9236320039463,493.27317755213653,2.0
10.0,2012.0,508.29635654620057,3609.330345855165,1147.2414343671264,3.0
10.0,2013.0,501.66064965584195,5314.112737504225,775.2242147616369,0.0
41.0,2009.0,13.816490139725818,73.78449378759422,18.390135403694458,0.0
41.0,2010.0,89.52626190157807,692.3072736071881,207.06074460185795,0.0
41.0,2011.0,NaN,77.36448751342493,5.806539754388581,2.0
41.0,2012.0,NaN,264.82670638763005,49.68692792149089,1.0
41.0,2013.0,NaN,269.08811888511093,132.52766501026753,0.0
50.0,2009.0,49.67753050174978,528.9269528350067,68.4329971334147,1.0
50.0,2010.0,303.09021907090425,2172.246274106074,771.5355306962689,1.0
50.0,2011.0,93.1964627090959,1061.75515065703,115.47961771441467,2.0
50.0,2012.0,22.487316473409198,99.29774694707726,1.841492392244163,0.0
50.0,2013.0,222.6885205241294,1529.0440670753735,458.38537166747756,1.0
70.0,2009.0,49.549945024485446,563.2703980206727,72.98671059243632,1.0
70.0,2010.0,27.064549762382104,202.6384638696632,48.87439342507506,3.0
70.0,2011.0,37.095976695576795,284.4782780778273,66.67195687272977,2.0
70.0,2012.0,31.765739385386887,318.37363597919204,35.60887555865595,4.0
70.0,2013.0,29.31807270075857,290.0251926154217,43.28146810524418,1.0
90.0,2009.0,63.667109791196914,731.8422083423962,63.78994237548975,11.0
90.0,2010.0,306.6321815928891,2659.2252134001856,576.1269531749185,1.0
90.0,2011.0,49.593528083139866,484.3400486817511,22.158469928947227,5.0
90.0,2012.0,138.64963380037736,1017.6501304963542,290.92076502395923,6.0
90.0,2013.0,246.86163092176892,1643.3482641523806,514.0248638669366,2.0
