error,forecast_cases,month,true_cases,year
15.918437099216511,36.08156290078349,11,52.0,2013
20.86815312417156,4.13184687582844,12,25.0,2013
18.554020096183386,-6.554020096183387,1,12.0,2014
6.129112401545211,7.870887598454789,2,14.0,2014
9.071992584618503,20.071992584618503,3,11.0,2014
9.080295711280424,-1.0802957112804243,4,8.0,2014
15.342206014041889,-5.3422060140418886,5,10.0,2014
6.452030211476021,47.45203021147602,6,41.0,2014
37.77089503382515,7.2291049661748525,7,45.0,2014
21.867363887079833,72.86736388707983,8,51.0,2014
1.8645255950971134,54.13547440490289,9,56.0,2014
36.01372233731694,9.986277662683056,10,46.0,2014
