error,forecast_cases,month,true_cases,year
351.29327412849307,722.2932741284931,5,371.0,2007
175.35465441025235,798.3546544102524,6,623.0,2007
85.4034852510946,686.4034852510946,7,601.0,2007
112.48300675440078,538.5169932455992,8,651.0,2007
139.4158197327747,575.5841802672253,9,715.0,2007
103.63808562930842,592.3619143706916,10,696.0,2007
245.2224764840554,560.7775235159446,11,806.0,2007
164.35826345309306,637.3582634530931,12,473.0,2007
35.558745734437764,438.44125426556224,1,474.0,2008
198.44460814947868,242.55539185052132,2,441.0,2008
228.26081778486423,272.73918221513577,3,501.0,2008
379.75940730243553,181.24059269756447,4,561.0,2008
