error,forecast_cases,month,true_cases,year
200.9060307684902,390.9060307684902,2,190.0,2012
193.77973214653218,374.7797321465322,3,181.0,2012
149.12024476540608,326.1202447654061,4,177.0,2012
399.0191437953597,541.0191437953597,5,142.0,2012
541.5498684307919,761.5498684307919,6,220.0,2012
352.94668175871993,780.9466817587199,7,428.0,2012
166.23448472745815,832.2344847274582,8,666.0,2012
5.665470099520007,702.66547009952,9,697.0,2012
278.5194478148437,873.4805521851563,10,1152.0,2012
699.5383618039717,869.4616381960283,11,1569.0,2012
537.5514673227515,611.4485326772485,12,1149.0,2012
475.73071675674413,460.26928324325587,1,936.0,2013
